index|id|category|city|area|market_name|market_address|shop|pay_list|zone|user|pay_tool
129|50009437|['餐飲']|新竹市|東區|['便當、自助餐店']|新竹市東　區仙水里光復路一段３８９號一樓|酷金竹科餐飲|['LINE PAY']|桃竹苗|王祥安|['行動支付']
130|50009439|['餐飲']|新竹市|東區|['冰果店、冷（熱）飲店']|新竹市東　區金山里金山街１５號一樓|源菄商行|['LINE PAY']|桃竹苗|楊子平|['行動支付']
131|50010605|['餐飲']|新竹市|東區|['陶瓷器皿及餐具批發', '茶葉批發', '餐食攤販', '竹製品製造']|新竹市東　區東山里１５鄰培英街１６號４樓|禾園茶館有限公司|['台灣 PAY']|桃竹苗|何新松|['行動支付']
132|50010701|['餐飲']|新竹市|東區|['連鎖速食店', '未分類其他食品批發']|新竹市東　區親仁里中央路１５２號１６樓之３|萬德食品有限公司|['台灣 PAY', 'LINE PAY']|桃竹苗|徐明德|['行動支付']
133|50010774|['夜市小吃/市場', '餐飲']|新竹市|香山區|['其他水產品批發', '冰果店、冷（熱）飲店', '國產家用家具批發', '農產品（家畜及家禽肉品）批發市場承銷']|新竹市香山區中隘里中華路６段７９９巷１０弄１號１樓|飛帆國際生活藝術有限公司|['台灣 PAY', 'LINE PAY']|桃竹苗|陳亭瑜|['行動支付']
134|50011159|['夜市小吃/市場', '餐飲']|新竹市|東區|['未分類其他食品、飲料及菸草製品零售', '其他管理顧問服務', '餐館、餐廳']|新竹市東　區光明里光復路二段１０１號４樓|華信綜合事業有限公司|['一卡通']|桃竹苗|關少萍|['電子票證']
135|50011385|['餐飲']|新竹市|東區|['餐館、餐廳']|新竹市東　區關東里關新東路１９９號|允鼎企業有限公司|['LINE PAY']|桃竹苗|梁素英|['行動支付']
136|50011448|['餐飲']|新竹市|東區|['餐館、餐廳']|新竹市東　區育賢里東門街４６號１樓|品美永奇有限公司|['LINE PAY']|桃竹苗|賴志建|['行動支付']
137|50011459|['餐飲']|新竹市|香山區|['餐館、餐廳']|新竹市香山區大湖里南湖路２１５巷２５５弄１１５號１樓|古今車用中餐廳有限公司|['台灣 PAY']|桃竹苗|林滿足|['行動支付']
138|50011462|['餐飲']|新竹市|東區|['餐館、餐廳']|新竹市東　區公園里公園路３１２號|心築餐飲事業有限公司|['台灣 PAY']|桃竹苗|楊佳瑋|['行動支付']
139|50011713|['餐飲']|新竹市|東區|['餐館、餐廳']|新竹市東　區親仁里１４鄰仁愛街１２６巷２４號|烤肉家有限公司|['街口支付']|桃竹苗|黃子明|['行動支付']
140|50012035|['夜市小吃/市場', '餐飲']|新竹市|北區|['國產菸酒批發', '旅館', '餐館、餐廳', '冰果店、冷（熱）飲店']|新竹市北　區海濱里聖軍路７５號|水晶旅館有限公司|['台灣 PAY']|桃竹苗|楊嬿儒|['行動支付']
